Hippopotamus,500,Animal,"Hippopotamus: Known for its hard spelling as opposed to its deathly nature, hippos were responsible for almost 500 human deaths in 2014, more than lions and sharks combined.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,hippopotamus.png
Manufacturing,564,Occupational,Manufacturing: Accidents and miscalculations in blue collar manufacturing industries costed 564 human lives in the year 2002 in the US alone.,http://www.bls.gov/iif/oshwc/cfoi/cftb0170.pdf,https://openclipart.org/,manufacturing.png
"Agriculture, forestry, and fishing",790,Occupational,Agriculture: Agriculture and Forestry related incidents claimed 790 lives in the last consensus survey in the United States.,http://www.bls.gov/iif/oshwc/cfoi/cftb0170.pdf,https://openclipart.org/,agriculture.png
Transportation and public utilities,910,Occupational,"Transportation: Accidents and incidents in shipping, trucking and other transportation related activities were responsible for 910 deaths in 2002.",http://www.bls.gov/iif/oshwc/cfoi/cftb0170.pdf,https://openclipart.org/,transportation.png
Hapatitis B Post,912,Vaccine Effect,"Hep B Post-vaccine: Surprisingly, Hep B deaths went UP in 2002 (912 U.S. deaths) after after the Hep B vaccination was introduced. Scientists have attributed this to a mutation in the string that went unnoticed for a long time.",http://vaccines.procon.org/view.resource.php?resourceID=005968,http://zarga.us/Our-Services/Travel-Medicine/hepatitis-b,hepatitis b.png
Crocodile,"1,000.00",Animal,Crocodile: Crocodiles claimed 1000 lives in different parts of the world in the year 2014,https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,crocodile.png
Polio Pre,"1,043.00",Vaccine Effect,"Polio Pre-vaccine: Polio claimed 1043 lives in the US in 1955, the year the Polio Vaccine was introduced into the market.",http://vaccines.procon.org/view.resource.php?resourceID=005964,http://www.wikiwand.com/en/Poliovirus,polio.png
Whooping Cough Pre,"1,118.00",Vaccine Effect,"Whooping Cough Pre-vaccine: 1118 people were killed in 1950, a significantly higher number than after the vaccine was introduced.",http://vaccines.procon.org/view.resource.php?resourceID=005971,http://solutionsdesignedforhealthcare.com/pertussis-prevention-whooping-cough,whooping cough.png
Construction,"1,125.00",Occupational,"Construction: Construction work kiled 1125 people in 2002, one of the deadlier professions",http://www.bls.gov/iif/oshwc/cfoi/cftb0170.pdf,https://openclipart.org/,construction.png
Tornado,"1,300.00",Natrual disaster,"Tornado: In 1989, 1300 people were killed as a result of the Daulatpur-Salturia Tornado - one of the deadliest tornados in history.","Finch, Jonathan. ""Tornados in Bangladesh and East India –—"". National Weather Service. Bangladesh tornadoes",https://openclipart.org/,tornado.png
Tapeworm,"2,000.00",Animal,"Tapeworm: The deathly tapeworm, which can grow up to 6 feet long inside its victims killed 2000 people in 2014 alone.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,http://www.snopes.com/horrors/vanities/tapeworm.asp,tapeworm.png
Afghanistan,"2,344.00",War,Afghanistan: It's surprising that the War on Drugs in Afghanistan in its entirety has claimed just 344 more people than the Tapeworm in the year 2014 alone: 2344.,http://www.statisticbrain.com/u-s-war-death-statistics/,http://www.af.undp.org/,afghanistan.png
